combo,classifier,accuracy,f1_macro
sentence_L6,LogisticRegression,0.5382096069868996,0.4114499251739634
sentence_L6,LinearSVC,0.5152838427947598,0.40258470969321936
concordance_L6,LogisticRegression,0.5480349344978166,0.4113226386357634
concordance_L6,LinearSVC,0.5163755458515283,0.4116922893153422
sentence_L7,LogisticRegression,0.5382096069868996,0.4115737768318799
sentence_L7,LinearSVC,0.527292576419214,0.4386561960739262
concordance_L7,LogisticRegression,0.5502183406113537,0.4517935059904737
concordance_L7,LinearSVC,0.5251091703056768,0.42179750224701945
sentence_L8,LogisticRegression,0.5283842794759825,0.39947186175739324
sentence_L8,LinearSVC,0.4978165938864629,0.3937161127715001
concordance_L8,LogisticRegression,0.5458515283842795,0.4460185158746935
concordance_L8,LinearSVC,0.517467248908297,0.41772766748366996
sentence_L9,LogisticRegression,0.5185589519650655,0.38587788148575947
sentence_L9,LinearSVC,0.5021834061135371,0.3893055245699025
concordance_L9,LogisticRegression,0.5611353711790393,0.4363834630042101
concordance_L9,LinearSVC,0.5349344978165939,0.43350851504459226
sentence_L10,LogisticRegression,0.5469432314410481,0.43091252040896355
sentence_L10,LinearSVC,0.5294759825327511,0.4405712671954829
concordance_L10,LogisticRegression,0.5600436681222707,0.4169029866002153
concordance_L10,LinearSVC,0.5393013100436681,0.4222829678182819
sentence_L11,LogisticRegression,0.5382096069868996,0.388544414082294
sentence_L11,LinearSVC,0.5294759825327511,0.43086308622447866
concordance_L11,LogisticRegression,0.5502183406113537,0.4209861523553549
concordance_L11,LinearSVC,0.5185589519650655,0.4059151872762553
